stationId,stationLon,stationLat,capacity,charge_speed_station
1_ac,121.348137,30.715199,6.0,7.0
2_ac,121.34456,30.716703,12.0,3.5
3_ac,121.296063,30.717229,2.0,7.0
4_ac,121.296063,30.717229,5.0,7.0
5_ac,121.296063,30.717229,5.0,7.0
6_ac,121.344823,30.717439,12.0,7.0
7_ac,121.34936,30.719352,1.0,7.0
8_ac,121.349401,30.719436,1.0,7.0
9_ac,121.344358,30.719738,6.0,7.0
10_ac,121.348129,30.720449,3.0,7.0
11_ac,121.343585,30.721829,4.0,7.0
12_ac,121.360385,30.724301,6.0,3.5
13_ac,121.275571,30.72457,12.0,3.5
14_ac,121.352264,30.728989,3.0,7.0
15_ac,121.321043,30.728997,12.0,3.5
18_ac,121.328866,30.733361,10.0,7.0
19_ac,121.346951,30.733446,11.0,7.0
20_ac,121.329333,30.733469,3.0,7.0
21_ac,121.353645,30.733667,3.0,7.0
24_ac,121.371152,30.738248,6.0,7.0
26_ac,121.356287,30.738415,4.0,7.0
27_ac,121.345957,30.739459,1.0,7.0
29_ac,121.349895,30.740882,6.0,7.0
31_ac,121.33846,30.742313,5.0,7.0
32_ac,121.3176,30.744477,12.0,3.5
33_ac,121.346404,30.745981,12.0,3.5
34_ac,121.324759,30.746848,12.0,3.5
35_ac,121.323504,30.746894,12.0,3.5
36_ac,121.344685,30.747403,18.0,3.5
37_ac,121.373677,30.748689,5.0,7.0
38_ac,121.323844,30.748695,12.0,3.5
39_ac,121.318964,30.749937,2.0,7.0
40_ac,121.33749,30.75149,18.0,3.5
41_ac,121.34523,30.75184,7.0,7.0
42_ac,121.352565,30.752461,5.0,7.0
43_ac,121.340099,30.753546,3.0,7.0
44_ac,121.3467,30.753829,6.0,7.0
47_ac,121.350967,30.755944,6.0,7.0
48_ac,121.338926,30.756731,5.0,7.0
49_ac,121.32845,30.75715,90.0,7.0
50_ac,121.32845,30.75715,42.0,7.0
51_ac,121.343934,30.758359,6.0,7.0
52_ac,121.331401,30.765869,1.0,7.0
53_ac,121.336467,30.790905,5.0,7.0
54_ac,121.19335,30.790929,4.0,7.0
55_ac,121.45466,30.79098,6.0,7.0
56_ac,121.161106,30.793963,6.0,7.0
57_ac,121.356432,30.794118,10.0,7.0
58_ac,121.152283,30.795511,6.0,7.0
59_ac,121.201247,30.795795,12.0,7.0
60_ac,121.331874,30.799555,7.0,7.0
61_ac,121.425997,30.801221,3.0,7.0
62_ac,121.414589,30.801431,5.0,7.0
63_ac,121.41952,30.801482,3.0,7.0
64_ac,121.424496,30.80228,3.0,7.0
65_ac,121.476724,30.802523,16.0,7.0
66_ac,121.198826,30.803262,3.0,7.0
67_ac,121.290559,30.803672,12.0,3.5
68_ac,121.148402,30.807487,9.0,7.0
69_ac,121.3374,30.80799,20.0,7.0
70_ac,121.43149,30.8088,11.0,7.0
72_ac,121.146246,30.820013,6.0,7.0
73_ac,121.527349,30.820318,4.0,7.0
74_ac,121.354116,30.821989,1.0,14.0
75_ac,121.354347,30.822023,1.0,14.0
76_ac,121.53354,30.822833,3.0,3.5
77_ac,121.526747,30.822916,6.0,7.0
79_ac,121.189105,30.82365,10.0,7.0
80_ac,121.39363,30.824777,12.0,7.0
81_ac,121.514748,30.824869,1.0,7.0
82_ac,121.468139,30.825521,4.0,5.25
83_ac,121.356936,30.827647,6.0,7.0
84_ac,121.356936,30.827647,2.0,7.0
85_ac,121.469536,30.830525,12.0,3.5
86_ac,121.183534,30.832578,4.0,7.0
87_ac,121.192507,30.833509,13.0,7.0
88_ac,121.18833,30.834249,2.0,7.0
89_ac,121.24343,30.83505,2.0,7.0
90_ac,121.259528,30.835447,8.0,7.0
91_ac,121.186782,30.835725,2.0,7.0
92_ac,121.240237,30.836655,2.0,7.0
93_ac,121.23949,30.837436,2.0,7.0
95_ac,121.189257,30.838544,6.0,7.0
96_ac,121.23821,30.838625,40.0,7.0
97_ac,121.238282,30.839354,30.0,7.0
98_ac,121.350114,30.841656,2.0,7.0
99_ac,121.316967,30.842492,6.0,7.0
101_ac,121.542525,30.849598,4.0,7.0
102_ac,121.546992,30.851299,5.0,7.0
104_ac,121.54923,30.85433,7.0,7.0
105_ac,121.81732,30.85896,70.0,7.0
106_ac,121.82098,30.85974,70.0,7.0
107_ac,121.820972,30.862182,4.0,7.0
108_ac,121.104225,30.865003,10.0,7.0
109_ac,121.898081,30.869805,6.0,7.0
110_ac,121.791046,30.869879,34.0,7.0
111_ac,121.327942,30.870002,12.0,3.5
112_ac,121.820792,30.870864,18.0,3.5
113_ac,121.734995,30.871044,1.0,7.0
114_ac,121.926246,30.871128,1.0,7.0
115_ac,121.08711,30.871684,6.0,3.5
116_ac,121.095294,30.873927,4.0,5.25
117_ac,121.863266,30.874252,6.0,7.0
118_ac,121.746103,30.875847,12.0,3.5
119_ac,121.746363,30.877845,12.0,3.5
120_ac,121.827422,30.87844,6.0,7.0
121_ac,121.919893,30.878833,14.0,7.0
122_ac,121.328972,30.880132,12.0,3.5
123_ac,121.92097,30.88032,100.0,7.0
125_ac,121.891386,30.884144,12.0,3.5
128_ac,121.340026,30.88726,4.0,7.0
130_ac,121.312161,30.888525,10.0,7.0
131_ac,121.3198,30.888791,5.0,7.0
132_ac,121.156596,30.889825,12.0,3.5
135_ac,121.935969,30.89096,1.0,7.0
137_ac,121.188601,30.892418,6.0,3.5
138_ac,121.051269,30.892444,26.0,7.0
139_ac,121.165109,30.893142,6.0,3.5
